mean	delta	phaseL	phaseR	time	x	dx	dy	power_L	power_R
 381.429	   4.286	   0.386	   0.000	   7.920	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   4.286	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   4.286	   0.386	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   4.286	   0.386	   0.000	  13.170	  13.035	   0.099	  -0.009	 -27.589	 -44.699
 390.000	   4.286	   0.386	   0.000	   7.970	  11.076	   1.350	  -0.109	 -13.048	 -21.602
 375.000	   5.000	   0.386	   0.000	   7.970	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   5.000	   0.386	   0.000	   7.970	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   5.000	   0.386	   0.000	   7.970	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   5.000	   0.386	   0.000	   7.970	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   5.000	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   5.000	   0.386	   0.000	   0.620	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   5.000	   0.386	   0.000	  13.310	  14.460	   0.430	  -0.110	 -15.685	-139.295
 390.000	   5.000	   0.386	   0.000	   7.960	  11.078	   1.354	  -0.113	 -12.916	 -18.783
 375.000	   0.000	   0.514	   0.000	   7.960	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.000	   0.514	   0.000	   7.960	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.000	   0.514	   0.000	   7.960	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.000	   0.514	   0.000	   7.960	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.000	   0.514	   0.000	   7.960	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.000	   0.514	   0.000	   8.400	   7.213	   0.415	  -0.197	 -56.205	 -99.421
 387.857	   0.000	   0.514	   0.000	   7.810	   9.628	   1.082	  -0.100	 -31.991	 -74.571
 390.000	   0.000	   0.514	   0.000	   7.890	  10.964	   1.351	  -0.104	  -9.769	 -30.006
